observed_pre_exit_hashrate_mh,operator_committed_hashrate_mh,committed_share_of_observed_pct,elastic_hashrate_mh,elastic_exit_pct,remaining_honest_hashrate_mh,visible_rental_capacity_mh,rental_overlap_assumption_pct,available_rental_capacity_mh,configurable_owned_hashrate_mh,attacker_visible_plus_owned_hashrate_mh,rental_pct_of_pre_existing_honest,attacker_pct_of_combined_hashrate,visible_rental_alone_exceeds_honest,visible_plus_owned_exceeds_honest,additional_owned_hash_required_to_exceed_honest_mh,committed_hash_status,evidence_class
19.70723840,0.00000000,0.00000000,19.70723840,0.00,19.70723840,10.34630000,0.00,10.34630000,0.00000000,10.34630000,52.49999919,34.42622916,false,false,9.36093841,operator-committed under current policy,operator-supplied committed hash plus speculative stress case and frozen observed market/network values; zero-overlap additive rental assumption
19.70723840,0.00000000,0.00000000,19.70723840,0.00,19.70723840,10.34630000,0.00,10.34630000,2.00000000,12.34630000,52.49999919,38.51774442,false,false,9.36093841,operator-committed under current policy,operator-supplied committed hash plus speculative stress case and frozen observed market/network values; zero-overlap additive rental assumption
19.70723840,0.00000000,0.00000000,19.70723840,0.00,19.70723840,10.34630000,0.00,10.34630000,5.00000000,15.34630000,52.49999919,43.77960315,false,false,9.36093841,operator-committed under current policy,operator-supplied committed hash plus speculative stress case and frozen observed market/network values; zero-overlap additive rental assumption
19.70723840,0.00000000,0.00000000,19.70723840,0.00,19.70723840,10.34630000,0.00,10.34630000,10.00000000,20.34630000,52.49999919,50.79775923,false,true,9.36093841,operator-committed under current policy,operator-supplied committed hash plus speculative stress case and frozen observed market/network values; zero-overlap additive rental assumption
19.70723840,0.00000000,0.00000000,19.70723840,10.00,17.73651456,10.34630000,0.00,10.34630000,0.00000000,10.34630000,58.33333243,36.84210490,false,false,7.39021457,operator-committed under current policy,operator-supplied committed hash plus speculative stress case and frozen observed market/network values; zero-overlap additive rental assumption
19.70723840,0.00000000,0.00000000,19.70723840,10.00,17.73651456,10.34630000,0.00,10.34630000,2.00000000,12.34630000,58.33333243,41.04104014,false,false,7.39021457,operator-committed under current policy,operator-supplied committed hash plus speculative stress case and frozen observed market/network values; zero-overlap additive rental assumption
19.70723840,0.00000000,0.00000000,19.70723840,10.00,17.73651456,10.34630000,0.00,10.34630000,5.00000000,15.34630000,58.33333243,46.38752840,false,false,7.39021457,operator-committed under current policy,operator-supplied committed hash plus speculative stress case and frozen observed market/network values; zero-overlap additive rental assumption
19.70723840,0.00000000,0.00000000,19.70723840,10.00,17.73651456,10.34630000,0.00,10.34630000,10.00000000,20.34630000,58.33333243,53.42646082,false,true,7.39021457,operator-committed under current policy,operator-supplied committed hash plus speculative stress case and frozen observed market/network values; zero-overlap additive rental assumption
19.70723840,0.00000000,0.00000000,19.70723840,25.00,14.78042880,10.34630000,0.00,10.34630000,0.00000000,10.34630000,69.99999892,41.17647021,false,false,4.43412881,operator-committed under current policy,operator-supplied committed hash plus speculative stress case and frozen observed market/network values; zero-overlap additive rental assumption
19.70723840,0.00000000,0.00000000,19.70723840,25.00,14.78042880,10.34630000,0.00,10.34630000,2.00000000,12.34630000,69.99999892,45.51341259,false,false,4.43412881,operator-committed under current policy,operator-supplied committed hash plus speculative stress case and frozen observed market/network values; zero-overlap additive rental assumption
19.70723840,0.00000000,0.00000000,19.70723840,25.00,14.78042880,10.34630000,0.00,10.34630000,5.00000000,15.34630000,69.99999892,50.93915142,false,true,4.43412881,operator-committed under current policy,operator-supplied committed hash plus speculative stress case and frozen observed market/network values; zero-overlap additive rental assumption
19.70723840,0.00000000,0.00000000,19.70723840,25.00,14.78042880,10.34630000,0.00,10.34630000,10.00000000,20.34630000,69.99999892,57.92255839,false,true,4.43412881,operator-committed under current policy,operator-supplied committed hash plus speculative stress case and frozen observed market/network values; zero-overlap additive rental assumption
19.70723840,0.00000000,0.00000000,19.70723840,50.00,9.85361920,10.34630000,0.00,10.34630000,0.00000000,10.34630000,104.99999838,51.21951181,true,true,0.00000001,operator-committed under current policy,operator-supplied committed hash plus speculative stress case and frozen observed market/network values; zero-overlap additive rental assumption
19.70723840,0.00000000,0.00000000,19.70723840,50.00,9.85361920,10.34630000,0.00,10.34630000,2.00000000,12.34630000,104.99999838,55.61416638,true,true,0.00000001,operator-committed under current policy,operator-supplied committed hash plus speculative stress case and frozen observed market/network values; zero-overlap additive rental assumption
19.70723840,0.00000000,0.00000000,19.70723840,50.00,9.85361920,10.34630000,0.00,10.34630000,5.00000000,15.34630000,104.99999838,60.89821113,true,true,0.00000001,operator-committed under current policy,operator-supplied committed hash plus speculative stress case and frozen observed market/network values; zero-overlap additive rental assumption
19.70723840,0.00000000,0.00000000,19.70723840,50.00,9.85361920,10.34630000,0.00,10.34630000,10.00000000,20.34630000,104.99999838,67.37203456,true,true,0.00000001,operator-committed under current policy,operator-supplied committed hash plus speculative stress case and frozen observed market/network values; zero-overlap additive rental assumption
19.70723840,0.00000000,0.00000000,19.70723840,75.00,4.92680960,10.34630000,0.00,10.34630000,0.00000000,10.34630000,209.99999675,67.74193515,true,true,0.00000001,operator-committed under current policy,operator-supplied committed hash plus speculative stress case and frozen observed market/network values; zero-overlap additive rental assumption
