scenario_id,scenario_display_id,horizon_years,attack_duration_blocks,redirectable_hash_share_pct,redirected_hash_opportunity_cost_proxy,owned_hardware_electricity_cost_proxy,possible_double_spend_value,rental_market_assumption
S0,S0,0,6,10.0,1.687554016200,0.954673414879,not inferred; configured hypothetical values are separate,A public RinHash ask market was observed on Mining Rig Rentals; the separate empirical model uses frozen listing depth. These generic redirected-hash shares are secondary stress cases.
S0,S0,0,6,25.0,4.218885040500,2.386683537197,not inferred; configured hypothetical values are separate,A public RinHash ask market was observed on Mining Rig Rentals; the separate empirical model uses frozen listing depth. These generic redirected-hash shares are secondary stress cases.
S0,S0,0,6,50.0,8.437770081000,4.773367074394,not inferred; configured hypothetical values are separate,A public RinHash ask market was observed on Mining Rig Rentals; the separate empirical model uses frozen listing depth. These generic redirected-hash shares are secondary stress cases.
S0,S0,0,24,10.0,6.750216064800,3.818693659515,not inferred; configured hypothetical values are separate,A public RinHash ask market was observed on Mining Rig Rentals; the separate empirical model uses frozen listing depth. These generic redirected-hash shares are secondary stress cases.
S0,S0,0,24,25.0,16.875540162000,9.546734148789,not inferred; configured hypothetical values are separate,A public RinHash ask market was observed on Mining Rig Rentals; the separate empirical model uses frozen listing depth. These generic redirected-hash shares are secondary stress cases.
S0,S0,0,24,50.0,33.751080324000,19.093468297577,not inferred; configured hypothetical values are separate,A public RinHash ask market was observed on Mining Rig Rentals; the separate empirical model uses frozen listing depth. These generic redirected-hash shares are secondary stress cases.
S0,S0,0,144,10.0,40.501296388800,22.912161957093,not inferred; configured hypothetical values are separate,A public RinHash ask market was observed on Mining Rig Rentals; the separate empirical model uses frozen listing depth. These generic redirected-hash shares are secondary stress cases.
S0,S0,0,144,25.0,101.253240972000,57.280404892732,not inferred; configured hypothetical values are separate,A public RinHash ask market was observed on Mining Rig Rentals; the separate empirical model uses frozen listing depth. These generic redirected-hash shares are secondary stress cases.
S0,S0,0,144,50.0,202.506481944000,114.560809785463,not inferred; configured hypothetical values are separate,A public RinHash ask market was observed on Mining Rig Rentals; the separate empirical model uses frozen listing depth. These generic redirected-hash shares are secondary stress cases.
S0,S0,1,6,10.0,0.421929016200,0.238691272022,not inferred; configured hypothetical values are separate,A public RinHash ask market was observed on Mining Rig Rentals; the separate empirical model uses frozen listing depth. These generic redirected-hash shares are secondary stress cases.
S0,S0,1,6,25.0,1.054822540500,0.596728180054,not inferred; configured hypothetical values are separate,A public RinHash ask market was observed on Mining Rig Rentals; the separate empirical model uses frozen listing depth. These generic redirected-hash shares are secondary stress cases.
S0,S0,1,6,50.0,2.109645081000,1.193456360109,not inferred; configured hypothetical values are separate,A public RinHash ask market was observed on Mining Rig Rentals; the separate empirical model uses frozen listing depth. These generic redirected-hash shares are secondary stress cases.
S0,S0,1,24,10.0,1.687716064800,0.954765088087,not inferred; configured hypothetical values are separate,A public RinHash ask market was observed on Mining Rig Rentals; the separate empirical model uses frozen listing depth. These generic redirected-hash shares are secondary stress cases.
S0,S0,1,24,25.0,4.219290162000,2.386912720217,not inferred; configured hypothetical values are separate,A public RinHash ask market was observed on Mining Rig Rentals; the separate empirical model uses frozen listing depth. These generic redirected-hash shares are secondary stress cases.
S0,S0,1,24,50.0,8.438580324000,4.773825440434,not inferred; configured hypothetical values are separate,A public RinHash ask market was observed on Mining Rig Rentals; the separate empirical model uses frozen listing depth. These generic redirected-hash shares are secondary stress cases.
S0,S0,1,144,10.0,10.126296388800,5.728590528521,not inferred; configured hypothetical values are separate,A public RinHash ask market was observed on Mining Rig Rentals; the separate empirical model uses frozen listing depth. These generic redirected-hash shares are secondary stress cases.
S0,S0,1,144,25.0,25.315740972000,14.321476321303,not inferred; configured hypothetical values are separate,A public RinHash ask market was observed on Mining Rig Rentals; the separate empirical model uses frozen listing depth. These generic redirected-hash shares are secondary stress cases.
S0,S0,1,144,50.0,50.631481944000,28.642952642605,not inferred; configured hypothetical values are separate,A public RinHash ask market was observed on Mining Rig Rentals; the separate empirical model uses frozen listing depth. These generic redirected-hash shares are secondary stress cases.
S0,S0,2,6,10.0,0.052788391200,0.029863147022,not inferred; configured hypothetical values are separate,A public RinHash ask market was observed on Mining Rig Rentals; the separate empirical model uses frozen listing depth. These generic redirected-hash shares are secondary stress cases.
S0,S0,2,6,25.0,0.131970978000,0.074657867554,not inferred; configured hypothetical values are separate,A public RinHash ask market was observed on Mining Rig Rentals; the separate empirical model uses frozen listing depth. These generic redirected-hash shares are secondary stress cases.
S0,S0,2,6,50.0,0.263941956000,0.149315735109,not inferred; configured hypothetical values are separate,A public RinHash ask market was observed on Mining Rig Rentals; the separate empirical model uses frozen listing depth. These generic redirected-hash shares are secondary stress cases.
S0,S0,2,24,10.0,0.211153564800,0.119452588087,not inferred; configured hypothetical values are separate,A public RinHash ask market was observed on Mining Rig Rentals; the separate empirical model uses frozen listing depth. These generic redirected-hash shares are secondary stress cases.
S0,S0,2,24,25.0,0.527883912000,0.298631470217,not inferred; configured hypothetical values are separate,A public RinHash ask market was observed on Mining Rig Rentals; the separate empirical model uses frozen listing depth. These generic redirected-hash shares are secondary stress cases.
S0,S0,2,24,50.0,1.055767824000,0.597262940434,not inferred; configured hypothetical values are separate,A public RinHash ask market was observed on Mining Rig Rentals; the separate empirical model uses frozen listing depth. These generic redirected-hash shares are secondary stress cases.
S0,S0,2,144,10.0,1.266921388800,0.716715528521,not inferred; configured hypothetical values are separate,A public RinHash ask market was observed on Mining Rig Rentals; the separate empirical model uses frozen listing depth. These generic redirected-hash shares are secondary stress cases.
S0,S0,2,144,25.0,3.167303472000,1.791788821303,not inferred; configured hypothetical values are separate,A public RinHash ask market was observed on Mining Rig Rentals; the separate empirical model uses frozen listing depth. These generic redirected-hash shares are secondary stress cases.
S0,S0,2,144,50.0,6.334606944000,3.583577642605,not inferred; configured hypothetical values are separate,A public RinHash ask market was observed on Mining Rig Rentals; the separate empirical model uses frozen listing depth. These generic redirected-hash shares are secondary stress cases.
S0,S0,5,6,10.0,0.000465998400,0.000263621952,not inferred; configured hypothetical values are separate,A public RinHash ask market was observed on Mining Rig Rentals; the separate empirical model uses frozen listing depth. These generic redirected-hash shares are secondary stress cases.
